Region,"Town / Township","Quarter / Village Tract","Postal Code"
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရှမ်းကွင်း ကျေးရွာအုပ်စု",1001200
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရှောပြာ ကျေးရွာအုပ်စု",1001201
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရွာသစ် ကျေးရွာအုပ်စု",1001202
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ထန်းကန့်လန့် ကျေးရွာအုပ်စု",1001203
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကျောက်ချောင်းကြီး ကျေးရွာအုပ်စု",1001204
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မင်းကုန်း ကျေးရွာအုပ်စု",1001205
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အနန်းကုန်း ကျေးရွာအုပ်စု",1001206
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကမ်းနီ ကျေးရွာအုပ်စု",1001207
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကြောင်ပန်းကုန်း ကျေးရွာအုပ်စု",1001208
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","လင်းဝင်းကြီး ကျေးရွာအုပ်စု",1001209
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကွင်းပေါက်ကြီး ကျေးရွာအုပ်စု",1001210
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ပန်းပင်ဆိပ် ကျေးရွာအုပ်စု",1001211
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဂွေးကုန်း ကျေးရွာအုပ်စု",1001212
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရေမနေပင်ကိုင်း ကျေးရွာအုပ်စု",1001213
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဦးတို ကျေးရွာအုပ်စု",1001214
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဘုရားချောင်း ကျေးရွာအုပ်စု",1001215
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","လိန်ကုန်း ကျေးရွာအုပ်စု",1001216
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ထန်းကုန်း ကျေးရွာအုပ်စု",1001217
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဝက်ကြီးကွင်း ကျေးရွာအုပ်စု",1001218
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ထိန်းလေးပင်လင်းဝင်းကြီး ကျေးရွာအုပ်စု",1001219
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","လက်ပန် ကျေးရွာအုပ်စု",1001220
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မဲဇလီ ကျေးရွာအုပ်စု",1001221
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရွာဟောင်းကြီး ကျေးရွာအုပ်စု",1001222
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရေတွင်းချောင်း ကျေးရွာအုပ်စု",1001223
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","တောင်တန်းကုန်း ကျေးရွာအုပ်စု",1001224
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကြက်ပေါင် ကျေးရွာအုပ်စု",1001225
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မိုးကုတ် ကျေးရွာအုပ်စု",1001226
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","တွန်ပလွန် ကျေးရွာအုပ်စု",1001227
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဇရပ်ဆိပ် ကျေးရွာအုပ်စု",1001228
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","သစ်ပုတ်ကုန်း ကျေးရွာအုပ်စု",1001229
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","စပါးထား ကျေးရွာအုပ်စု",1001230
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မကျီးကုန်း ကျေးရွာအုပ်စု",1001231
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ရွှေမြင်တင် ကျေးရွာအုပ်စု",1001232
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မရမ်းချောင်း ကျေးရွာအုပ်စု",1001233
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဇင်ပြွန်းကုန်း ကျေးရွာအုပ်စု",1001234
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကိုးဆူ ကျေးရွာအုပ်စု",1001235
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ပေါက်ကုန်း ကျေးရွာအုပ်စု",1001236
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မြို့ချောင်း ကျေးရွာအုပ်စု",1001237
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ပျဉ်းကတိုးကုန်း ကျေးရွာအုပ်စု",1001238
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကံကြီး ကျေးရွာအုပ်စု",1001239
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","သဲကုန်း ကျေးရွာအုပ်စု",1001240
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","သဘော့ကန် ကျေးရွာအုပ်စု",1001241
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဘောမိ ကျေးရွာအုပ်စု",1001242
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မကျီးဇင် ကျေးရွာအုပ်စု",1001243
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ငကွ ကျေးရွာအုပ်စု",1001244
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ကြက်တူရွေး ကျေးရွာအုပ်စု",1001245
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အလယ်ရွာ ကျေးရွာအုပ်စု",1001246
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","သလပ်ခွါ ကျေးရွာအုပ်စု",1001247
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","မဒေါ့ကုန်း ကျေးရွာအုပ်စု",1001248
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","လေးမျက်နှာ ကျေးရွာအုပ်စု",1001249
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","သဇင် ကျေးရွာအုပ်စု",1001250
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","ဆင်မ ကျေးရွာအုပ်စု",1001251
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","စာဖြူစု (ခ) ကျောက်ဖျာ ကျေးရွာအုပ်စု",1001252
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","ကျိုက်လတ် ကျေးရွာအုပ်စု",1002200
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","တကုန်းကြီး ကျေးရွာအုပ်စု",1002201
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","ခူချောင် ကျေးရွာအုပ်စု",1002202
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","ကျီးတော ကျေးရွာအုပ်စု",1002203
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","ကျွန်းလျှားရှည် ကျေးရွာအုပ်စု",1002204
ဧရာဝတီတိုင်းဒေသကြီး,"ကန်ကြီးထောင့် မြို့နယ်","နနွင်းဂရက် ကျေးရွာအုပ်စု",1002205
