Region,"Town / Township","Quarter / Village Tract","Postal Code"
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁) ရပ်ကွက်",1001001
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၂) ရပ်ကွက်",1001002
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၃) ရပ်ကွက်",1001003
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၄) ရပ်ကွက်",1001004
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၅) ရပ်ကွက်",1001005
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၆) ရပ်ကွက်",1001006
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၇) ရပ်ကွက်",1001007
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၈) ရပ်ကွက်",1001008
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၉) ရပ်ကွက်",1001009
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁၀) ရပ်ကွက်",1001010
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁၁) (ကန်တိုမင်နယ်မြေ) ရပ်ကွက်",1001011
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁၂) (ရေကြည်ဦး) ရပ်ကွက်",1001012
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁၃)  (ရွှေဝတ်မှုံ) ရပ်ကွက်",1001013
ဧရာဝတီတိုင်းဒေသကြီး,"ပုသိမ် မြို့နယ်","အမှတ် (၁၄) ရပ်ကွက်",1001014
